Date,Name,Year,Letterboxd URI,Rating
2024-11-09,Batman Begins,2005,https://boxd.it/2aIg,4
2024-11-09,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2024-11-09,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2024-11-09,Avatar,2009,https://boxd.it/1Efm,4
2024-11-09,Thor: Ragnarok,2017,https://boxd.it/8MHi,3.5
2024-11-09,Jurassic Park,1993,https://boxd.it/2aA2,4
2024-11-09,A Silent Voice: The Movie,2016,https://boxd.it/d99c,4
2024-11-09,K.G.F: Chapter 2,2022,https://boxd.it/lCgM,4
2024-11-09,Catch Me If You Can,2002,https://boxd.it/29VS,4
2024-11-09,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2024-11-09,Shutter Island,2010,https://boxd.it/1U82,4.5
2024-11-09,The Departed,2006,https://boxd.it/28MA,4.5
2024-11-09,Midnight Run,1988,https://boxd.it/1ZnQ,3.5
2024-11-09,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3
2024-11-09,American Psycho,2000,https://boxd.it/28Vs,4
2024-11-09,Back to the Future,1985,https://boxd.it/2b8e,4
2024-11-09,The Prestige,2006,https://boxd.it/293w,4.5
2024-11-09,Dunkirk,2017,https://boxd.it/d0Y6,4
2024-11-09,Memento,2000,https://boxd.it/2bcK,4.5
2024-11-09,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2024-11-09,Reservoir Dogs,1992,https://boxd.it/2agc,4
2024-11-09,My Hero Academia: Two Heroes,2018,https://boxd.it/igfw,3.5
2024-11-09,Ocean's Eleven,2001,https://boxd.it/2aZm,3
2024-11-09,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,4
2024-11-09,Fight Club,1999,https://boxd.it/2a9q,4.5
2024-11-09,Inception,2010,https://boxd.it/1skk,4.5
2024-11-09,The Suicide Squad,2021,https://boxd.it/fw6O,4
2024-11-09,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/nyLU,4
2024-11-09,Your Name.,2016,https://boxd.it/cUqs,5
2024-11-09,GoodFellas,1990,https://boxd.it/29FA,4.5
2024-11-09,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,4.5
2024-11-09,Nobody,2021,https://boxd.it/mLqS,3.5
2024-11-09,Avengers: Infinity War,2018,https://boxd.it/9vEe,5
2024-11-09,Parasite,2019,https://boxd.it/hTha,4.5
2024-11-09,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2024-11-09,The Dark Knight,2008,https://boxd.it/2b0k,5
2024-11-09,Tenet,2020,https://boxd.it/leq4,4
2024-11-09,Joker,2019,https://boxd.it/h4cS,4.5
2024-11-09,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2024-11-15,Akira,1988,https://boxd.it/2b1i,4
2024-11-17,Olympus Has Fallen,2013,https://boxd.it/3TMY,2
2024-11-17,Mirage,2018,https://boxd.it/jeOm,2.5
2024-11-17,Bad Trip,2021,https://boxd.it/lgRG,2
2024-11-18,Twisters,2024,https://boxd.it/qV7a,2.5
